NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ_土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考,マッチングレベル,世界_10進_X,世界_10進_Y
132,川中公民館,カワナカコウミンカン,山口県下関市伊倉町2丁目1-1,,34.003494,130.931609,,083-255-3501,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,456,,,,,130.931609,34.003494
133,川中公民館分館,カワナカコウミンカンブンカン,山口県下関市綾羅木本町3丁目1-20,,34.003422,130.924716,,083-253-6169,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,111,,,,,130.924716,34.003422
134,川中西小学校,カワナカニシショウガッコウ,山口県下関市古屋町2丁目9-1,,34.000567,130.919389,,083-252-1949,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,276,,,,,130.919389,34.000567
135,垢田小学校,アカダショウガッコウ,山口県下関市新垢田西町1丁目1-1,,33.989324,130.913226,,083-253-5433,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,337,,,,,130.913226,33.989324
136,川中小学校,カワナカショウガッコウ,山口県下関市伊倉本町19-1,,34.003703,130.935179,,083-252-0833,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,393,,,,,130.935179,34.003703
137,熊野小学校,クマノショウガッコウ,山口県下関市熊野西町10-1,,33.99547,130.941229,,083-254-2901,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,411,,,,,130.941229,33.99547
138,垢田中学校,アカダチュウガッコウ,山口県下関市大字垢田字笹原1127-6,,33.997932,130.914967,,083-253-1113,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,411,,,,,130.914967,33.997932
139,川中中学校,カワナカチュウガッコウ,山口県下関市伊倉新町4丁目6-1,,34.004691,130.934344,,083-252-0900,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,722,,,,,130.934344,34.004691
140,垢田体育館,アカダタイイクカン,山口県下関市大字垢田字石交1339-1,,33.994664,130.918212,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,173,,,,,130.918212,33.994664
141,市立考古博物館,シリツコウコハクブツカン,山口県下関市大字綾羅木字岡454,,34.011417,130.92612,,083-254-3061,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,200,,,,,130.92612,34.011417
142,川中武道館,カワナカブドウカン,山口県下関市綾羅木本町7丁目10-8,,34.00655,130.91727,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,151,,,,,130.91727,34.00655
143,垢田公会堂,アカダコウカイドウ,山口県下関市垢田町1丁目11-7,,33.99297,130.920748,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,100,,,,,130.920748,33.99297
144,綾羅木郷遺跡公園,アヤラギゴウイセキコウエン,山口県下関市大字綾羅木字若宮,,34.012371,130.924705,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.924705,34.012371
145,綾羅木１号公園,アヤラギイチゴウコウエン,山口県下関市綾羅木本町7丁目,,34.005582,130.917778,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.917778,34.005582
146,新垢田南公園,シンアカダミナミコウエン,山口県下関市新垢田南町3丁目,,33.986055,130.915813,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.915813,33.986055
147,えのき公園,エノキコウエン,山口県下関市稗田中町5,,33.99614,130.927527,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.927527,33.99614
148,川中東部公園,カワナカトウブコウエン,山口県下関市川中豊町4丁目,,33.997827,130.939772,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.939772,33.997827
150,安岡小学校,ヤスオカショウガッコウ,山口県下関市安岡町3丁目5-5,,34.028727,130.919935,,083-258-0057,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,400,,,,,130.919935,34.028727
151,安岡中学校,ヤスオカチュウガッコウ,山口県下関市安岡町4丁目2-1,,34.033111,130.919044,,083-258-0309,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,339,,,,,130.919044,34.033111
152,下関工科高等学校,シモノセキコウカコウトウガッコウ,山口県下関市富任町4丁目1-1,,34.022775,130.920999,,083-258-0065,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,474,,,,,130.920999,34.022775
153,県立下関武道館（柔道場）,ケンリツシモノセキブドウカン（ジュウドウジョウ）,山口県下関市大字冨任198-17,,34.018601,130.93611,,083-259-8880,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,213,,,,,130.93611,34.018601
154,脇之浦町民館,ワキノウラチョウミンカン,山口県下関市安岡本町3丁目14-1,,34.026028,130.908524,,083-231-9333,,352012,山口県,下関市,○,○,×,×,×,,,,避難所,100,,,,,130.908524,34.026028
155,下関北運動公園,シモノセキキタウンドウコウエン,山口県下関市大字冨任,,34.01941,130.935531,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.935531,34.01941
156,安岡地区公園,ヤスオカチクコウエン,山口県下関市安岡町4丁目,,34.032605,130.917005,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.917005,34.032605
157,吉見公民館,ヨシミコウミンカン,山口県下関市大字吉見下1533,,34.071075,130.902857,,083-286-2121,,352012,山口県,下関市,○,○,○（2階）,×,○,,,,避難所,191,,,,,130.902857,34.071075
158,吉母公民館,ヨシモコウミンカン,山口県下関市大字吉母401-24,,34.088557,130.879943,,083-286-6226,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,77,,,,,130.879943,34.088557
159,吉母小学校,ヨシモショウガッコウ,山口県下関市大字吉母字塩谷287,,34.089469,130.878946,,083-286-2518,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,293,,,,,130.878946,34.089469
160,吉見小学校,ヨシミショウガッコウ,山口県下関市吉見里町1丁目8-1,,34.072389,130.901102,,083-286-2014,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,326,,,,,130.901102,34.072389
161,蓋井小学校,フタオイショウガッコウ,山口県下関市大字蓋井島字田町126-2,,34.101752,130.78763,,083-286-6279,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,253,,,,,130.78763,34.101752
162,吉見中学校,ヨシミチュウガッコウ,山口県下関市永田本町1丁目3-10,,34.073888,130.895608,,083-286-2032,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,331,,,,,130.895608,34.073888
163,水産大学校,スイサンダイガッコウ,山口県下関市永田本町2丁目7-1,,34.070212,130.890348,,083-286-5111,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,285,,,,,130.890348,34.070212
164,吉見体育館,ヨシミタイイクカン,山口県下関市吉見里町1丁目9-1,,34.07247,130.899156,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,334,,,,,130.899156,34.07247
165,蓋井島保健福祉館,フタオイジマホケンフクシカン,山口県下関市大字蓋井島71,,34.100094,130.787207,,083-286-6241,,352012,山口県,下関市,○,×,○,×,×,,,,避難所,72,,,,,130.787207,34.100094
166,吉見近隣公園,ヨシミキンリンコウエン,山口県下関市吉見里町1丁目,,34.073306,130.898549,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.898549,34.073306
167,菊川総合支所,キクガワソウゴウシショ,山口県下関市菊川町大字下岡枝1480-1,,34.121658,131.030594,,083-287-1112,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,119,,,,,131.030594,34.121658
168,楢崎公民館,ナラサキコウミンカン,山口県下関市菊川町大字楢崎790-1,,34.132722,131.00086,,083-287-4026,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,75,,,,,131.00086,34.132722
169,豊東小学校,トヨヒガシショウガッコウ,山口県下関市菊川町大字上大野字上ノ原10020-1,,34.115615,131.049052,,083-287-0050,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,216,,,,,131.049052,34.115615
170,岡枝小学校,オカエダショウガッコウ,山口県下関市菊川町大字吉賀字金蔵寺2494,,34.134322,131.020014,,083-287-0007,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,181,,,,,131.020014,34.134322
171,楢崎小学校,ナラサキショウガッコウ,山口県下関市菊川町大字楢崎字殿屋敷215,,34.135405,130.994633,,083-287-0164,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,181,,,,,130.994633,34.135405
173,菊川中学校,キクガワチュウガッコウ,山口県下関市菊川町大字下岡枝字上室屋1-2,,34.123079,131.026898,,083-287-0042,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,267,,,,,131.026898,34.123079
174,田部高等学校,タベコウトウガッコウ,山口県下関市菊川町大字田部1074,,34.118388,131.030938,,083-287-1212,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,432,,,,,131.030938,34.118388
175,菊川ふれあい会館,キクガワフレアイカイカン,山口県下関市菊川町大字下岡枝117,,34.120764,131.030822,,083-287-0302,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,1364,,,,,131.030822,34.120764
176,菊川老人憩の家,キクガワロウジンイコイノイエ,山口県下関市菊川町大字下岡枝字西所光508-1,,34.130732,131.034353,,083-287-3022,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,69,,,,,131.034353,34.130732
177,菊川体育館（菊川ベルちゃん体育館）,キクガワタイイクカン（キクガワベルチャンタイイクカン）,山口県下関市菊川町大字下岡枝1477-1,,34.122191,131.030599,,083-242-2722,,352012,山口県,下関市,×,○,○,○,○,,,,避難所,364,,,,,131.030599,34.122191
178,菊川運動公園,キクガワウンドウコウエン,山口県下関市菊川町大字下岡枝56-1,,34.123315,131.030983,,083-287-2820,,352012,山口県,下関市,×,○,○,○,○,,,,避難場所,,,,,,131.030983,34.123315
179,豊田総合支所,トヨタソウゴウシショ,山口県下関市豊田町大字殿敷1918-1,,34.204015,131.076304,,083-766-1050,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,35,,,,,131.076304,34.204015
180,殿居公民館,トノイコウミンカン,山口県下関市豊田町大字殿居1039-2,,34.260422,131.030668,,083-768-0556,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,25,,,,,131.030668,34.260422
181,豊田中公民館,トヨウタナカコウミンカン,山口県下関市豊田町大字八道2544-1,,34.21392,131.054725,,083-766-2361,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,30,,,,,131.054725,34.21392
182,三豊公民館,サンポウコウミンカン,山口県下関市豊田町大字地吉122,,34.240172,131.126837,,083-766-3551,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,30,,,,,131.126837,34.240172
183,西市公民館,ニシイチコウミンカン,山口県下関市豊田町大字矢田153‐1,,34.20276,131.073596,,083-766-3511,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,65,,,,,131.073596,34.20276
184,豊田下公民館,トヨタシモコウミンカン,山口県下関市豊田町大字手洗285-1,,34.180365,131.067115,,083-766-2556,,352012,山口県,下関市,×,○,○,○,○,,,,避難所,25,,,,,131.067115,34.180365
185,旧豊田中小学校,キュウトヨタナカショウガッコウ,山口県下関市豊田町大字浮石字久下1159-1,,34.229728,131.055837,,083-766-2100,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,150,,,,,131.055837,34.229728
186,西市小学校,ニシイチショウガッコウ,山口県下関市豊田町大字矢田字今熊132,,34.204225,131.074429,,083-766-0064,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,140,,,,,131.074429,34.204225
187,豊田下小学校,トヨタシモショウガッコウ,山口県下関市豊田町大字手洗字貴布祢303,,34.180152,131.06602,,083-766-0167,,352012,山口県,下関市,×,○,○,○,○,,,,避難所,140,,,,,131.06602,34.180152
188,豊田中学校,トヨタチュウガッコウ,山口県下関市豊田町大字矢田字鎮守434,,34.197331,131.074237,,083-766-0105,,352012,山口県,下関市,×,○,○,○,○,,,,避難所,240,,,,,131.074237,34.197331
189,山口農業高等学校西市分校,ヤマグチノウギョウコウトウガッコウニシイチブンコウ,山口県下関市豊田町大字殿敷834-5,,34.198217,131.08413,,083-766-0002,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,200,,,,,131.08413,34.198217
190,旧殿居小学校維新分校（清流館）,キュウトノイショウガッコウイシンブンコウ（セイリュウカン）,山口県下関市豊田町大字杢路子1441-2,,34.214228,131.009839,,083-766-2824,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,50,,,,,131.009839,34.214228
191,とのい夢夢ハウス,トノイユメユメハウス,山口県下関市豊田町大字殿居1094-1,,34.258767,131.030382,,083-766-2824,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,45,,,,,131.030382,34.258767
192,豊田農業公園（総合営農指導拠点施設）,トヨタノウギョウコウエン（ソウゴウエイノウシドウキョテンシセツ）,山口県下関市豊田町大字八道601‐3,,34.235065,131.032133,,083-766-2824,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,20,,,,,131.032133,34.235065
193,豊田農業公園（多目的利用施設）,トヨタノウギョウコウエン（タモクテキリヨウシセツ）,山口県下関市豊田町大字八道1088‐1,,34.234891,131.034418,,083-766-2824,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,20,,,,,131.034418,34.234891
194,下関市豊田農村勤労福祉センター,シモノセキシトヨタノウソンキンロウフクシセンター,山口県下関市豊田町大字浮石2528-1,,34.243268,131.044389,,083-766-1640,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,230,,,,,131.044389,34.243268
195,豊田生涯学習センター,トヨタショウガイガクシュウセンター,山口県下関市豊田町大字矢田149-1,,34.203042,131.073115,,083-766-2100,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,160,,,,,131.073115,34.203042
196,旧殿居小学校,キュウトノイショウガッコウ,山口県下関市豊田町大字殿居1040-1,,34.259917,131.030498,,083-766-2100,,352012,山口県,下関市,○,○,○,○(グ),○,,,,避難場所,,,,,,131.030498,34.259917
197,旧三豊小学校,キュウサンポウショウガッコウ,山口県下関市豊田町大字地吉122,,34.239968,131.127188,,083-766-2100,,352012,山口県,下関市,○,×,○,○(グ),○,,,,避難場所,,,,,,131.127188,34.239968
198,豊田農業公園みのりの丘,トヨタノウギョウコウエンミノリノオカ,山口県下関市豊田町大字八道601-3,,34.23471,131.03223,,083-766-2824,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,131.03223,34.23471
199,小串公民館,コグシコウミンカン,山口県下関市豊浦町大字小串字先中2207-1,,34.17598,130.929146,,083-772-2001,,352012,山口県,下関市,○,○,×,×,×,,,,避難所,328,,,,,130.929146,34.17598
200,川棚公民館,カワタナコウミンカン,山口県下関市豊浦町大字川棚字林崎6167-2,,34.145151,130.924129,,083-772-2120,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,624,,,,,130.924129,34.145151
201,室津公民館,ムロツコウミンカン,山口県下関市豊浦町大字室津下681-3,,34.133225,130.886279,,083-772-0055,,352012,山口県,下関市,○,○,×,○,×,,,,避難所,150,,,,,130.886279,34.133225
202,宇賀小学校,ウカショウガッコウ,山口県下関市豊浦町大字宇賀字ふけ4961,,34.220662,130.931506,,083-776-0020,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,269,,,,,130.931506,34.220662
203,小串小学校,コグシショウガッコウ,山口県下関市豊浦町大字小串字谷田ヶ浴617,,34.175632,130.933803,,083-774-0814,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,202,,,,,130.933803,34.175632
204,川棚小学校,カワタナショウガッコウ,山口県下関市豊浦町大字川棚字後楽3650-1,,34.151449,130.931973,,083-772-0190,,352012,山口県,下関市,×,○,○,○,○,,,,避難所,365,,,,,130.931973,34.151449
205,誠意小学校,セイイショウガッコウ,山口県下関市豊浦町大字黒井字才舛2200,,34.127799,130.913545,,083-772-0290,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,197,,,,,130.913545,34.127799
206,室津小学校,ムロツショウガッコウ,山口県下関市豊浦町大字室津下字新田152-1,,34.130881,130.892747,,083-772-0390,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,262,,,,,130.892747,34.130881
207,夢が丘中学校,ユメガオカチュウガッコウ,山口県下関市豊浦町大字小串字夢が丘10145,,34.172292,130.933314,,083-775-3300,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,100,,,,,130.933314,34.172292
208,豊洋中学校,ホウヨウチュウガッコウ,山口県下関市豊浦町大字黒井字馬神10724-1,,34.128171,130.904597,,083-772-0291,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,225,,,,,130.904597,34.128171
209,双葉保育園,フタバホイクエン,山口県下関市豊浦町大字宇賀字川嶋12984-1,,34.207245,130.934646,,083-776-0202,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,118,,,,,130.934646,34.207245
210,豊浦総合支援学校,トヨウラソウゴウシエンガッコウ,山口県下関市豊浦町大字小串字石堂7-136,,34.167083,130.925039,,083-772-1331,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,195,,,,,130.925039,34.167083
211,宇賀ふれあいセンター,ウカフレアイセンター,山口県下関市豊浦町大字宇賀字ふけ4940,,34.22026,130.932712,,083-776-0021,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,523,,,,,130.932712,34.22026
212,大河内交流センター,オオコウチコウリュウセンター,山口県下関市豊浦町大字宇賀字下ノ屋敷5367-1,,34.217477,130.946269,,083-772-4030,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,26,,,,,130.946269,34.217477
213,宇賀児童館,ウカジドウカン,山口県下関市豊浦町大字宇賀字中園7925-1,,34.212031,130.93141,,083-776-0001,,352012,山口県,下関市,○,×,○,○,×,,,,避難所,50,,,,,130.93141,34.212031
214,豊浦夢が丘スポーツセンター,トヨウラユメガオカスポーツセンター,山口県下関市豊浦町大字小串10140,,34.172417,130.934519,,083-775-4113,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,1335,,,,,130.934519,34.172417
215,小野ふれあいセンター,オノフレアイセンター,山口県下関市豊浦町大字川棚字中台1486-1,,34.182469,130.963869,,083-772-2217,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,33,,,,,130.963869,34.182469
216,川棚温泉交流センター,カワタナオンセンコウリュウセンター,山口県下関市豊浦町大字川棚字湯町5180,,34.137718,130.939656,,083-774-3855,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,414,,,,,130.939656,34.137718
217,とんがりぼうし豊浦（自然活用総合管理センター）,トンガリボウシトヨウラ（シゼンカツヨウソウゴウカンリセンター）,山口県下関市豊浦町大字川棚字前坪5262-1,,34.140195,130.937417,,083-774-3700,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,108,,,,,130.937417,34.140195
218,黒井公民館,クロイコウミンカン,山口県下関市豊浦町大字黒井字平田2351,,34.127359,130.909688,,083-775-4182,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,353,,,,,130.909688,34.127359
219,豊浦多世代交流センター,トヨウラタセダイコウリュウセンター,山口県下関市豊浦町豊洋台1丁目447-290,,34.113596,130.910752,,083-772-0800,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,94,,,,,130.910752,34.113596
220,夢ヶ丘公園,ユメガオカコウエン,山口県下関市豊浦町大字小串字外無田,,34.172928,130.936874,,083-772-0612,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.936874,34.172928
221,リフレッシュパーク豊浦,リフレッシュパークトヨウラ,山口県下関市豊浦町大字川棚字長見,,34.134164,130.932937,,083-772-0612,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.932937,34.134164
222,豊洋運動公園,ホウヨウウンドウコウエン,山口県下関市豊浦町大字黒井字新川,,34.12765,130.903361,,083-772-0612,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.903361,34.12765
223,豊北総合支所,ホウホクソウゴウシショ,山口県下関市豊北町大字滝部3140-1,,34.290275,130.949202,,083-782-0063,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,59,,,,,130.949202,34.290275
224,神玉公民館,カミタマコウミンカン,山口県下関市豊北町大字神田上字野中2709,,34.285041,130.894396,,083-788-1043,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,136,,,,,130.894396,34.285041
225,阿川公民館,アガワコウミンカン,山口県下関市豊北町大字阿川字下宅野3752,,34.340097,130.925,,083-786-1010,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,105,,,,,130.925,34.340097
226,粟野公民館,アワノコウミンカン,山口県下関市豊北町大字粟野字妙見3333-2,,34.340109,130.979931,,083-785-0001,,352012,山口県,下関市,×,×,○,○,○,,,,避難所,145,,,,,130.979931,34.340109
227,滝部公民館,タキベコウミンカン,山口県下関市豊北町大字滝部字清願3397-12,,34.288536,130.948496,,083-782-1296,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,183,,,,,130.948496,34.288536
228,豊北小学校,ホウホクショウガッコウ,山口県下関市豊北町大字滝部字常安1200,,34.293713,130.954675,,083-782-0030,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,264,,,,,130.954675,34.293713
229,旧神田小学校,キュウカンダショウガッコウ,山口県下関市豊北町大字神田字北東法永浴2519-1,,34.333193,130.895127,,083-782-1943,,352012,山口県,下関市,○,○,○,○,×,,,,避難所,215,,,,,130.895127,34.333193
230,旧神玉小学校,キュウカミタマショウガッコウ,山口県下関市豊北町大字神田上字野中2704-1,,34.286029,130.894335,,083-782-1943,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,220,,,,,130.894335,34.286029
231,旧阿川小学校,キュウアガワショウガッコウ,山口県下関市豊北町大字阿川字下宅野3755-1,,34.339862,130.924619,,083-782-1943,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,220,,,,,130.924619,34.339862
232,旧粟野小学校,キュウアワノショウガッコウ,山口県下関市豊北町大字粟野字妙見3349,,34.339582,130.980132,,083-782-1943,,352012,山口県,下関市,×,○,×,○,○,,,,避難所,188,,,,,130.980132,34.339582
233,豊北中学校,ホウホクチュウガッコウ,山口県下関市豊北町大字滝部字幸神1244-36,,34.298075,130.949651,,083-782-0035,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,616,,,,,130.949651,34.298075
234,下関北高等学校,シモノセキキタコウトウガッコウ,山口県下関市豊北町大字滝部字中久森1003,,34.292241,130.956747,,083-782-0023,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,401,,,,,130.956747,34.292241
235,角島開発総合センター,ツノシマカイハツソウゴウセンター,山口県下関市豊北町大字角島字宮ノ脇1413-1,,34.355686,130.86736,,083-786-0734,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,175,,,,,130.86736,34.355686
236,豊北生涯学習センター,ホウホクショウガイガクシュウセンター,山口県下関市豊北町大字神田1199-1,,34.315974,130.891974,,083-786-0780,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,1098,,,,,130.891974,34.315974
237,豊北総合運動公園,ホウホクソウゴウウンドウコウエン,山口県下関市豊北町大字滝部字角石2914,,34.295265,130.944892,,083-782-1789,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,90,,,,,130.944892,34.295265
238,豊北体育センター,ホウホクタイイクセンター,山口県下関市豊北町大字滝部字宮ノ臺3158-1,,34.289896,130.94694,,083-782-1911,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,390,,,,,130.94694,34.289896
239,田耕農林漁家婦人活動促進センター,タスキノウリンギョカフジンカツドウソクシンセンター,山口県下関市豊北町大字田耕字柿畑4332-2,,34.270212,130.987206,,083-783-0001,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,94,,,,,130.987206,34.270212
240,二見集会所,フタミシュウカイジョ,山口県下関市豊北町大字北宇賀字上峠西平3585-1,,34.248655,130.910256,,083-782-0063,,352012,山口県,下関市,○,×,×,×,×,,,,避難所,35,,,,,130.910256,34.248655
241,旧角島小学校（グラウンド）,キュウツノシマショウガッコウ（グラウンド）,山口県下関市豊北町大字角島字正ノ田1768,,34.354094,130.860789,,083-782-1943,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.860789,34.354094
242,旧田耕小学校（グラウンド）,キュウタスキショウガッコウ（グラウンド）,山口県下関市豊北町大字田耕字尾振り松4351,,34.270986,130.987223,,083-782-1943,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.987223,34.270986
243,旧二見小学校（グラウンド）,キュウフタミショウガッコウ（グラウンド）,山口県下関市豊北町大字北宇賀字五本松3087-3,,34.254436,130.917181,,083-782-1943,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.917181,34.254436
244,阿川ほうせんぐり海浜公園,アガワホウセングリカイヒンコウエン,山口県下関市豊北町大字阿川,,34.341345,130.92967,,083-782-0063,,352012,山口県,下関市,○,○,×,×,×,,,,避難場所,,,,,,130.92967,34.341345
245,長府第三保育園,チョウフダイサンホイクエン,下関市長府松小田本町1-38,,34.020975,131.001902,,083-248-0152,,352012,山口県,下関市,○,×,×,×,○,,,,避難所,63,,,,,131.001902,34.020975
246,株式会社ミカド交設（ミカド卓球パーク）,カブシキガイシャミカドコウセツ（ミカドタッキュウパーク）,山口県下関市上田中町5丁目4-6,,33.96077307,130.9349638,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,45,,,,,130.9349638,33.96077307
247,内日二町町民館,ウツイニチョウチョウミンカン,下関市大字内日上1602-1,,34.0861661,130.9589408,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,28,,,,,130.9589408,34.0861661
248,安岡地区複合施設,ヤスオカチクフクゴウシセツ,下関市富任町5丁目10-1,,34.02416003,130.9234018,,083-258-0317,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,394,,,,,130.9234018,34.02416003
