ＮＯ,名称,名称カナ,住所,緯度,経度,管理先電話番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収用人数,ＵＲＬ,備　考
371,山口県立山口中央高等学校アリーナ,ヤマグチケンリツヤマグチチュウオウコウトウガッコウアリーナ,山口県山口市宮島町6-1,34.16647213,131.4790774,"083-922-0032
(中央高校)",35203,山口県,山口市,,1,1,1,1,,,,1,302(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
372,宮野地域交流センター,ミヤノチイキコウリュウセンター,山口県山口市宮野下3054,34.199878,131.507437,"083-934-2965
(協働推進課)",35203,山口県,山口市,,1,1,1,1,,,,1,583(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
373,宮野小学校体育館,ミヤノショウガッコウタイイクカン,山口県山口市宮野下3017,34.20035377,131.5062265,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,364(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
374,宮野小学校校舎,ミヤノショウガッコウコウシャ,山口県山口市宮野下3017,34.19967975,131.5061358,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,1174(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
375,宮野中学校体育館,ミヤノチュウガッコウタイイクカン,山口県山口市桜畠4-9-1,34.19752938,131.5017135,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,359(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
376,宮野中学校校舎,ミヤノチュウガッコウコウシャ,山口県山口市桜畠4-9-1,34.19764663,131.5013788,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,,1,1,1,,,,1,1368(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
377,宮野幼稚園,ミヤノヨウチエン,山口県山口市宮野下3000-1,34.19918623,131.5051875,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,220(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
378,山口市スポーツの森,ヤマグチシスポーツノモリ,山口県山口市宮野上237,34.20758392,131.5067201,"083-934-2873
(スポーツ交流課)",35203,山口県,山口市,1,1,1,1,1,,,,1,4500(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
379,山口ふれあい館,ヤマグチフレアイカン,山口県山口市宮野上1222,34.21952277,131.5129284,"083-934-2873
(スポーツ交流課)",35203,山口県,山口市,1,,1,1,1,,,,1,550(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
380,三の宮保育園,サンノミヤホイクエン,山口県山口市芝崎町9-73,34.18822889,131.4891687,"083-934-2798
(こども家庭課)",35203,山口県,山口市,1,1,1,,1,,,,1,163(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
381,公立大学法山口県立大学体育館,コウリツダイガクホウヤマグチケンリツダイガクタイイクカン,山口県山口市桜畠三丁目2-1,34.19464294,131.4978001,"083-928-0211
(県立大学)",35203,山口県,山口市,1,1,1,,1,,,,1,525(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
382,社会福祉法人ふしの学園地域交流　　　　　　　　　スペース・デイサービス・和室,シャカイフクシホウジンフシノガクエンチイキコウリュウスペース・デイサービス・ワシツ,山口県山口市宮野上3346,34.193692,131.517591,"083-928-0415
(ふしの学園)",35203,山口県,山口市,1,1,1,,1,,,,1,159(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
383,大殿地域交流センター,オオドノチイキコウリュウセンター,山口県山口市大殿大路120-4,34.183315,131.479809,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,333(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
384,大殿小学校体育館,オオドノショウガッコウタイイクカン,山口県山口市大殿大路213,34.18320535,131.4817017,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,,1,1,1,1,,,,1,376(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
385,大殿中学校体育館,オオドノチュウガッコウタイイクカン,山口県山口市古熊1-4-1,34.17707561,131.483954,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,540(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
386,山口ふるさと伝承総合センター,ヤマグチフルサトデンショウソウゴウセンター,山口県山口市下竪小路12,34.18354188,131.4781653,"083-934-2719
(ふるさと産業振興課)",35203,山口県,山口市,1,1,1,1,1,,,,1,120(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
387,社会福祉センターしらさぎ会館３階・４階,シャカイフクシセンターシラサギカイカン３カイ・４カイ,山口県山口市堂の前町1-5,34.18074126,131.4806983,"083-922-3666
(しらさぎ会館)",35203,山口県,山口市,1,1,1,,1,,,,1,123(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
388,白石地域交流センター,シライシチイキコウリュウセンター,山口県山口市本町1-1-25,34.17406107,131.4735952,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,399(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
389,白石小学校体育館,シライシショウガッコウタイイクカン,山口県山口市白石1-10-1,34.17704657,131.4708435,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,266(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
390,白石中学校体育館,シライシチュウガッコウタイイクカン,山口県山口市白石2-7-1,34.17652376,131.4697797,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,403(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
391,山口市民会館,ヤマグチシミンカイカン,山口県山口市中央2-5-1,34.17725664,131.4737147,"083-934-2717
(文化交流課)",35203,山口県,山口市,1,1,1,1,1,,,,1,1000(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
392,山口情報芸術センター,ヤマグチジョウホウゲイジュツセンター,山口県山口市中園町7-7,34.16956715,131.4673052,"083-934-2717
(文化交流課)",35203,山口県,山口市,1,1,1,1,1,,,,1,1024(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
393,山口保育園,ヤマグチホイクエン,山口県山口市旭通り1-6-19,34.168749,131.471236,"083-934-2798
(こども家庭課)",35203,山口県,山口市,1,1,1,1,1,,,,1,591(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
394,湯田地域交流センター,ユダチイキコウリュウセンター,山口県山口市湯田温泉5-5-50,34.1680795,131.4566139,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,352(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
395,湯田小学校体育館,ユダショウガッコウタイイクカン,山口県山口市元町2-26,34.16977025,131.4584977,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,320(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
396,湯田中学校体育館,ユダチュウガッコウタイイクカン,山口県山口市楠木町7-1,34.17204841,131.4525362,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,357(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
397,"山口勤労者総合福祉センター
（サンフレッシュ）",ヤマグチキンロウシャソウゴウフクシセンター（サンフレッシュ）,山口県山口市湯田温泉五丁目5-22,34.16846527,131.4561702,"083-934-2719
(ふるさと産業振興課)",35203,山口県,山口市,1,1,1,1,1,,,,1,400(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
398,山口隣保館,ヤマグチリンポカン,山口県山口市三和町3-1,34.16855575,131.4706153,"083-934-2767
(人権推進課)",35203,山口県,山口市,1,1,1,,1,,,,1,173(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
399,山口隣保館　別館,ヤマグチリンポカン　ベッカン,山口県山口市三和町13-19,34.16638929,131.4688487,"083-934-2767
(人権推進課)",35203,山口県,山口市,1,1,1,,1,,,,1,229(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
400,山口第二保育園,ヤマグチダイニホイクエン,山口県山口市三和町9-2,34.168138,131.469264,"083-934-2798
(こども家庭課)",35203,山口県,山口市,1,1,1,,1,,,,1,100(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
401,楠木保育園,クスノキホイクエン,山口県山口市楠木町1-44,34.170026,131.454599,"083-934-2798
(こども家庭課)",35203,山口県,山口市,1,1,1,,1,,,,1,142(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
402,日本郵政㈱かんぽの宿湯田会議室,ニホンユウセイ㈱カンポノヤドユダカイギシツ,山口県山口市神田町1-42,34.17183461,131.4574723,"083-922-5226
(かんぽの宿)",35203,山口県,山口市,1,1,1,,1,,,,1,100(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
403,障害者支援施設なでしこ園地域交流スペース,ショウガイシャシエンシセツナデシコエンチイキコウリュウスペース,山口県山口市朝倉町4-55,34.17645038,131.4528041,"083-934-5200
(なでしこ園)",35203,山口県,山口市,1,1,1,,1,,,,1,120(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
404,山口刑務所鍛錬場,ヤマグチケイムショタンレンジョウ,山口県山口市松美町5-6,34.1650969,131.4615816,083-922-1450,35203,山口県,山口市,1,1,1,1,1,,,,1,229(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
405,山口刑務所職員待機所,ヤマグチケイムショショクインタイキショ,山口県山口市松美町5-25,34.1650774,131.4614039,083-922-1450,35203,山口県,山口市,1,1,1,1,1,,,,1,83(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
406,吉敷地域交流センター,ヨシキチイキコウリュウセンター,山口県山口市吉敷佐畑1-4-1,34.166343,131.432643,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,405(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
407,良城小学校体育館,リョウジョウショウガッコウタイイクカン,山口県山口市吉敷佐畑3-3-3,34.1661975,131.4293788,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,343(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
408,鴻南中学校体育館,コウナンチュウガッコウタイイクカン,山口県山口市維新公園4-7-1,34.15359103,131.4342866,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,451(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
409,鴻南中学校校舎,コウナンチュウガッコウコウシャ,山口県山口市維新公園4-7-1,34.1542658,131.4345012,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,2047(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
410,吉敷幼稚園,ヨシキヨウチエン,山口県山口市吉敷佐畑4-6-1,34.16825958,131.4296946,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,,1,1,1,,,,1,181(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
411,平川地域交流センター,ヒラカワチイキコウリュウセンター,山口県山口市平井1665,34.1428434,131.4545766,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,303(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
412,平川小学校体育館,ヒラカワショウガッコウタイイクカン,山口県山口市平井1675-2,34.14129573,131.4560835,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,318(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
413,平川中学校体育館,ヒラカワチュウガッコウタイイクカン,山口県山口市黒川1231-1,34.13942763,131.4567553,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,296(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
414,平川幼稚園,ヒラカワヨウチエン,山口県山口市黒川1210-1,34.14160614,131.456976,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,208(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
415,山口大学体育館・武道館　　,ヤマグチダイガクタイイクカン・ブドウカン　　　,山口県山口市吉田1677-1,34.14814295,131.4661283,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,1842(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
416,山口県立西京高等学校体育館,ヤマグチケンリツサイキョウコウトウガッコウタイイクカン,山口県山口市黒川2580-1,34.13591454,131.444677,"083-923-8508
(西京高校)",35203,山口県,山口市,1,1,1,1,1,,,,1,808(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
417,大歳地域交流センター,オオトシチイキコウリュウセンター,山口県山口市矢原1407-5,34.14900389,131.4400312,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,239(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
418,大歳小学校体育館,オオトシショウガッコウタイイクカン,山口県山口市矢原1486,34.15067637,131.4395951,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,220(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
419,大歳小学校校舎,オオトシショウガッコウコウシャ,山口県山口市矢原1486,34.15035895,131.4397087,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,783(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
420,陶地域交流センター,スエチイキコウリュウセンター,山口県山口市陶2595,34.08952664,131.4304788,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,423(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
421,陶小学校体育館,スエショウガッコウタイイクカン,山口県山口市陶3544,34.09054201,131.4296826,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,277(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
422,陶小学校校舎,スエショウガッコウコウシャ,山口県山口市陶3544,34.09030655,131.4296826,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,441(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
423,潟上中学校体育館,カタガミチュウガッコウタイイクカン,山口県山口市陶1912,34.0790913,131.4328548,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,,1,1,,,,1,368(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
424,陶隣保館,スエリンポカン,山口県山口市陶4713-1,34.09705824,131.4122845,"083-934-2767
(人権推進課)",35203,山口県,山口市,1,,1,,1,,,,1,233(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
425,鋳銭司地域交流センター,スゼンジチイキコウリュウセンター,山口県山口市鋳銭司5435-1,34.08059029,131.4481027,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,,1,,,,1,176(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
426,鋳銭司小学校体育館,スゼンジショウガッコウタイイクカン,山口県山口市鋳銭司4010,34.08593979,131.4543877,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,169(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
427,名田島地域交流センター,ナタジマチイキコウリュウセンター,山口県山口市名田島1218-1,34.08422259,131.4121165,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,,1,1,,,,1,325(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
428,名田島小学校体育館,ナタジマショウガッコウタイイクカン,山口県山口市名田島1538-2,34.07664062,131.4154542,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,,1,,1,,,,,1,169(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
429,名田島幼稚園,ナタジマヨウチエン,山口県山口市名田島1536-1,34.07634,131.415884,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,,1,,1,,,,,1,98(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
430,山口南総合センター,ヤマグチミナミソウゴウセンター,山口県山口市名田島1218-1,34.08445803,131.4121576,"083-934-2873
(スポーツ交流課)",35203,山口県,山口市,1,1,,1,1,,,,1,2450(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
431,二島地域交流センター,フタジマチイキコウリュウセンター,山口県山口市秋穂二島5990,34.03752377,131.4229383,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,,1,,,,1,180(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
432,二島小学校体育館,フタジマショウガッコウタイイクカン,山口県山口市秋穂二島552-1,34.0380035,131.4207395,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,206(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
433,二島中学校体育館,フタジマチュウガッコウタイイクカン,山口県山口市秋穂二島561,34.04117054,131.4250849,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,231(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
434,二島幼稚園,フタジマヨウチエン,山口県山口市秋穂二島6174,34.03782909,131.4214429,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,98(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
435,潮寿荘,チョウジュソウ,山口県山口市秋穂二島438-1,34.011125,131.408402,"083-934-2793
(高齢福祉課)",35203,山口県,山口市,1,1,1,1,1,,,,1,273(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
436,嘉川地域交流センター,カガワチイキコウリュウセンター,山口県山口市嘉川4651-1,34.06769101,131.3696488,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,1,1,,,,1,538(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
437,嘉川小学校体育館,カガワショウガッコウタイイクカン,山口県山口市嘉川4986,34.07579076,131.3754567,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,255(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
438,興進小学校体育館,コウシンショウガッコウタイイクカン,山口県山口市江崎2284,34.05784158,131.3698901,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,255(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
439,川西中学校体育館,カワニシチュウガッコウタイイクカン,山口県山口市嘉川4352-2,34.06816139,131.3675807,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,200(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
440,嘉泉荘,カセンソウ,山口県山口市嘉川1439-1,34.07768603,131.3771333,"083-934-2793
(高齢福祉課)",35203,山口県,山口市,1,1,1,,1,,,,1,89(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
441,ハートホーム南山口（青藍会）　　　　　　地域交流スペース,ハートホームミナミヤマグチ（セイランカイ）チイキコウリュウスペース,山口県山口市深溝803-1,34.05148387,131.3672046,"083-988-3300
(ハートホーム南山口)",35203,山口県,山口市,1,1,1,1,1,,,,1,189(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
442,佐山地域交流センター,サヤマチイキコウリュウセンター,山口県山口市佐山2726-1,34.03646712,131.3593507,"083-934-2965
(協働推進課)",35203,山口県,山口市,1,1,1,,1,,,,1,162(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
443,佐山小学校体育館,サヤマショウガッコウタイイクカン,山口県山口市佐山2731,34.03603917,131.3605407,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,1,1,1,1,,,,1,167(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
444,小郡ふれあいセンター,オゴオリフレアイセンター,山口県山口市小郡下郷1440-1,34.10204596,131.401537,"083-934-2873
(スポーツ交流課)",35203,山口県,山口市,,1,1,1,1,,,,1,1281(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
445,小郡保健福祉センター,オゴオリホケンフクシセンター,山口県山口市小郡下郷609-5,34.10211022,131.3932391,"083-973-8143
(健康増進課)",35203,山口県,山口市,1,,1,1,1,,,,1,634(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
446,上郷小学校体育館,カミゴウショウガッコウタイイクカン,山口県山口市小郡みらい町2-14-1,34.12144824,131.3990214,"083-934-2860
(教育施設管理課)",35203,山口県,山口市,1,,1,1,1,,,,1,376(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
447,上郷小学校校舎,カミゴウショウガッコウコウシャ,山口県山口市小郡みらい町2-14-1,34.12157702,131.3980719,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,1,1,1,1,1,,,,1,1420(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
448,小郡小学校体育館,オゴオリショウガッコウタイイクカン,山口県山口市小郡下郷254-3,34.10648428,131.4007579,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,516(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
449,小郡小学校校舎,オゴオリショウガッコウコウシャ,山口県山口市小郡下郷254-3,34.10644653,131.4001034,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,2007(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
450,小郡南小学校体育館,オゴオリミナミショウガッコウタイイクカン,山口県山口市小郡緑町1-1,34.09013357,131.400267,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,442(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
451,小郡南小学校校舎,オゴオリミナミショウガッコウコウシャ,山口県山口市小郡緑町1-1,34.09056006,131.4000042,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,1535(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
452,小郡中学校体育館,オゴオリチュウガッコウタイイクカン,山口県山口市小郡下郷879-1,34.10638556,131.3970123,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,590(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
453,小郡中学校校舎,オゴオリチュウガッコウコウシャ,山口県山口市小郡下郷879-1,34.10605983,131.3978062,083-934-2860　　　　　　　　　　　教育施設管理課,35203,山口県,山口市,,1,1,1,1,,,,1,2361(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
454,小郡南集会所,オゴオリミナミシュウカイショ,山口県山口市小郡緑町2-27,34.09196178,131.4027896,083-973-2475　　　　　　　　　　　　　　　小郡総合支所総務課,35203,山口県,山口市,,1,1,,1,,,,1,89(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
455,小郡上郷児童館,オゴオリカミゴウジドウカン,山口県山口市小郡上郷2159,34.12823793,131.4108934,083-934-2798　　　　　　　　　　　こども家庭課,35203,山口県,山口市,1,1,1,,1,,,,1,84(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
456,小郡上郷保育園,オゴオリカミゴウホイクエン,山口県山口市小郡新町1-18-27,34.1134642,131.3975194,083-934-2798　　　　　　　　　　　こども家庭課,35203,山口県,山口市,,1,1,,1,,,,1,189(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
457,山口県立山口農業高等学校体育館・武道場,ヤマグチケンリツヤマグチノウギョウコウトウガッコウタイイクカン・ブドウジョウ,山口県山口市小郡上郷980-1,34.13111682,131.4086051,083-972-0950　　　　　　　　　　　農業高校,35203,山口県,山口市,1,1,1,1,1,,,,1,610(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
458,山口学芸大学体育館,ヤマグチガクゲイダイガクタイイクカン,山口県山口市小郡みらい町1-7-1,34.12119347,131.4022686,083-972-3288　　　　　　　　　　　　　学芸大学,35203,山口県,山口市,1,,1,1,1,,,,1,700(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
459,山口県鴻城高等学校体育館,ヤマグチケンコウジョウコウトウガッコウタイイクカン,山口県山口市小郡下郷258-2,34.10896232,131.401172,083-972－0307　　　　　　　　　　鴻城高校,35203,山口県,山口市,,1,1,1,1,,,,1,925(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
460,秋穂地域交流センター,アイオチイキコウリュウセンター,山口県山口市秋穂東6823-1,34.01914775,131.4332391,083-934-2965 　　　　　　　　　　　　　 協働推進課,35203,山口県,山口市,1,1,,1,1,,,,1,775(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
461,秋穂保健センター,アイオホケンセンター,山口県山口市秋穂東6570,34.01497198,131.4375471,083-973-8147　　　　　　　　　　　　健康増進課,35203,山口県,山口市,1,1,1,1,1,,,,1,248(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
462,大海総合センター,オオミソウゴウセンター,山口県山口市秋穂東1130-5,34.02982874,131.4650186,083-934-2873                  スポーツ交流課,35203,山口県,山口市,1,1,,1,1,,,,1,589(1.65㎡あたり1人）,http://www.city.yamaguchi.lg.jp/soshiki/4/2836.html,
