#LINK<-- ファイルタイプの指定,http://linkdata.org/upload,<-- このURLのページからこのファイルをアップロードしてください。,,,,,,,,,,,,,,,,,,,
#file_name<-- ファイルの名前,ube_genki,,,,,,,,,,,,,,,,,,,,
#lang<-- 言語指定,ja,,,,,,,,,,,,,,,,,,,,
#attribution_name<-- 作成者の名前,宇部市,,,,,,,,,,,,,,,,,,,,
#property<-- プロパティの名前またはURI,title,http://purl.org/dc/elements/1.1/description,categories,artimg,artimg,price,shop,jigyosha,phone,fax,url,e-mail,ichijisanpin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,,,,,,
#object_type_xsd<-- プロパティのデータ形式,string:ja,string:ja,string:ja,string:other,string:other,string:ja,string:ja,string:ja,string:en,string:en,string:en,string:ja,float,float,float,,,,,,
#property_context<-- プロパティのContext,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,,,,,,
2,釜炒り（かまいり）小野茶,"宇部市小野地区で、平成12年から農薬を使わずに栽培した生葉を蒸すのではなく釜で炒って仕上げています。
 釜で炒って発酵を止める釜炒り茶は、青臭さがなく、高い香り「釜香」が特徴です。
 熱湯で入れると渋み・苦味もゆったりと出て優しい飲み口になり、冷たくしても甘味があっておいしくいただけます。",認証製品名からさがす(218:search_product)--お茶加工品(224:tea),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/011/407/kamairi.jpg,,864円／50ｇ,"県内
山口茶業本社直売所、
山口宇部空港(小野茶クッキー、小野茶サブレ、小野茶かりんとう、釜入り小野茶）
楠こもれびの郷（小野茶クッキー、小野茶サブレ、小野茶かりんとう）、
フジグラン宇部（小野茶サブレ、小野茶ケーキ、小野茶かりんとう）、
ゆめタウン宇部（小野茶クッキー、小野茶かりんとう）、
幸屋（小野茶サブレ、小野茶かりんとう）
県外
広島三越（広島）、アバンセスーパー（広島）　他",株式会社山口茶業（宇部市大字櫟原152番地13）,0836-64-2116,0836-64-2044,http://www.onocha.com/,"
info@onocha.com",小野茶,34.101281,131.308756,"
2",,,,,
3,かまたのおはぎ（7個セット）,"良いもち玄米だけを使用して、一粒一粒手作業で仕分けをし、小さなお子様でも食べられるよう炊き方を工夫しています。
一見おはぎに珍しい「あおさ」や「夏みかんピール」をもち玄米や餡子に合うよう、味を工夫しています。
ぷちぷちもちもちとした食感で、からだに優しい和スイーツとして好まれています。
豊穣・半月・金風・焙香・夏柑・黒胡麻・緑水の7種類が1セットになっています。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/011/408/kamataohagi.jpg,,"1,000円/1パック（7個セット）",かまたの恵,"かまたの恵
(宇部市中村一丁目6番50号)",0836-32-1824,0836-38-8843,https://ohagi3333.wixsite.com/mysite,ohagi333@galaxy.ocn.ne.jp,もち米,,,3,,,,,
4,蜜カス,"国産の材料にこだわり、卵黄の割合が非常に高く、厳選した蜂蜜を贅沢に使用しています。
ザラメをひかずに職人の長年のカンでその日の温度や湿度などの条件に応じて、1枚1枚丁寧に焼き上げています。
しっとりふわふわな口当たりが特徴の究極のカステラです。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/011/409/mitsu.jpg,,"1,750円/1本","（県内）
小川蜜カス本舗
フジグラン宇部　他
（県外）
福島や（全国）","有限会社小川蜜カス本舗
(宇部市昭和町一丁目4番22号)",0836-21-0857,0836-31-8668,https://ogawamitsukasu.jp/,,卵,,,4,,,,,
5,岬通りまんじゅう,"小豆あんの中にバターを入れた、和と洋を組み合わせた「和風ダグワーズ」。サクッ、ホロッとした柔らかな口当たりが特徴で緑茶の香りが楽しめます。
かつてお店の前が「岬通り」と呼ばれており、その名前を残したいという思いから生まれたお菓子です。",認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/011/907/misakidoori.jpg,,180円/1個,小川蜜カス本舗、小川蜜カス本舗中野プラザ店、フジグラン宇部、ゆめタウン宇部、アルク恩田店,有限会社　小川蜜カス本舗（宇部市昭和町一丁目4番22号）,0836-21-0857,0836-31-8668,http://www.ogawamitsukasu.jp/,,山口茶,33.941513,131.254733,5,,,,,
6,芋焼酎　長州侍,"宇部産のさつまいも「黄金千貫」と菊芋を活用し、植え付けから収穫まで生産者、ボランティア、事務局とで行っています。
 芋焼酎の芋臭さをまろやかにするために菊芋を少量入れているため、香り豊かでまろやかな味が特長の芋焼酎となっています。
 夏はロックやソーダ割り、冬はお湯割りで美味しくお召し上がりいただけます。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/014/016/tyoushuzamurai.jpg,,"733円/300ml
1,571円/720ml
2,860円/1.8L","（県内）
酒販小売店（リカースペース太陽、フロンティア、キキーズ、Ａプライス、松原酒店）、フジグラン宇部、山口井筒屋宇部店（ゆめタウン）、鷲見酒舗、道の駅おふく、道の駅きららあじす、サンパークあじす
（県外）
佐々木商店（東京都）","企業組合長州侍
（宇部市大字西岐波316番61号）",0836-51-1823,0836-51-1823,,,サツマイモ、菊芋,,,6,,,,,
7,長州菊いも茶,化学肥料や農薬不使用の菊芋を原料として使用しています。クセがなくノンカフェインのお茶です。また、焙煎を工夫し美味しさや香りにこだわっています。熱湯だけでなく、冷水抽出も可能で、季節問わず手軽に飲むことができます。,,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/014/018/pakke-ji.jpg,,"1,188円/30ｇ三角ティーパック2.0ｇ×15パック","（県内）
ＪＡ厚南新鮮館、東岐波郵便局、則貞郵便局　他
（県外）
揚羽の蝶館（佐賀県）、ヘアサロンヒラマツ（東京都）、サクラスキルテック（福岡県）","アイティユー
（宇部市東岐波898番2号）",090-3499-5779,0836-58-6388,http://www.itu-design.com/,info@itu-design.com,菊芋,,,7,,,,,
8,日本酒をつかった猪口齢糖西洋菓子,"宇部市制施行100周年を記念してつくられた西洋焼菓子。
チョコレートのコクと旨味を日本酒が引き立てた、しっとりとしたチョコレートカステラです。
 冷蔵庫で冷やしていただくとケーキのようになります。お酒がたっぷり入っているので、包装を開いておくとアルコールがとび、まろやかで一味違った味わいになります。
※この製品はアルコールを使用しています。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/014/019/tyokokasumori.jpg,,"3,500円/1個","（県内）
自家店舗（本店、中野プラザ店）","有限会社小川蜜カス本舗
（宇部市昭和町一丁目4番22号）",0836-21-0857,0836-31-8668,https://ogawamitsukasu.jp/,,卵,,,8,,,,,
9,フィナンシェ（炭・煎茶・紅茶）,"竹炭のしゃりしゃり感と口に広がるバターのまろやかさを味わえる炭フィナンシェ、宇部産の煎茶や紅茶をたっぷり使用し、素材そのままのさわやかな香りを生かした優しい味わいの煎茶／紅茶のフィナンシェとなっています。
また、添加物不使用で製造しているので、安心安全にお召し上がりいただけます。",,https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/014/020/finanshemori.jpg,,"150円/一個
1,050円/1箱（6個入り）","(県内）
お菓子のピエロ、山口宇部空港、アルク恩田店、やなぎだ、道の駅あじす、うべわくわく市場","有限会社お菓子のピエロ
（宇部市西岐波1529番地の20",0836-51-5687,0836-51-5687,,piero@aurora.ocn.ne.jp,卵、炭、煎茶、紅茶,,,9,,,,,
,,,,,,,,,,,,,,,,,,,,,
うべ元気ブランドＳＤＧｓ・ゴールド,,,,,,,,,,,,,,,,,,,,,
1,"
純米大吟醸　ドメーヌTAKA　宇部山田錦",酒造りは米作りからを信条に、宇部市二俣瀬地区で自社栽培した米（山田錦）から作られた、米の味わいと吟醸香がバランスよくまとまっている清酒です。杜氏が自ら製品開発した「貴」は、杜氏の名から一文字とって命名。メディアにも数多く取り上げられ、全国はもちろん海外での販売もされており、抜群の知名度と高評価を得ている。,認証製品名からさがす(218:search_product)--お酒(221:sake),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/011/943/domenutaka.jpg,,"2,420円/720ml","（県内）
山口井筒屋宇部店（ゆめタウン）、いとなが、井上商店、篠澤酒舗、すむら酒店、ハラダ、古松商店、松原酒店、山口宇部空港、キキーズ
（県外）
酒商山田（広島県）
いまでや（千葉県）　他",株式会社永山本家酒造場（宇部市大字車地138番地）,0836-62-0088,0836-62-0509,http://www.domainetaka.com/,nagayamahonke@gmail.com,"原料米：自家栽培山田錦
アルコール度数：16度以上17度未満",34.057519,131.290608,2,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
