警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
柳井,0011,負傷,000,001,県道,柳井市,2019,01,28,17,57,4夜暮,曇,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.97046667,132.0813542,月曜,その他
萩,0008,負傷,000,001,その他(広場等),萩市,2019,01,28,18,05,4夜暮,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,人対車両,45～54歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.41671639,131.4043406,月曜,その他
長府,0021,負傷,000,001,国道９号,下関市,2019,01,29,07,51,1昼明,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,25～34歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.97128222,130.9669522,火曜,その他
防府,0034,負傷,000,001,市道,防府市,2019,01,29,08,00,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,車両相互,45～54歳,01～24歳,軽乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.05956806,131.5942675,火曜,その他
下松,0014,負傷,000,002,市道,下松市,2019,01,29,08,10,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,車両相互,65～74歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.01551833,131.8590933,火曜,その他
宇部,0049,負傷,000,004,市道,宇部市,2019,01,29,08,40,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,25～34歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.96538861,131.2383925,火曜,その他
下関,0063,負傷,000,002,県道,下関市,2019,01,29,10,53,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,01～24歳,普通乗用,軽乗用,事業用,自家用,損傷なし,負傷,33.97398083,130.9345358,火曜,その他
岩国,0031,負傷,000,001,その他(幅員測定可),岩国市,2019,01,29,17,58,4夜暮,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,車両相互,65～74歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.17030278,132.2135081,火曜,その他
長府,0019,負傷,000,001,国道491号,下関市,2019,01,29,18,30,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,25～34歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.04360889,131.0144964,火曜,その他
下関,0082,負傷,000,001,港湾道,下関市,2019,01,29,21,23,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　大,直路,交差点内,人対車両,55～64歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.94693472,130.9220836,火曜,その他
光,0014,負傷,000,002,国道２号,周南市,2019,01,30,06,28,6夜明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.03524611,131.9438819,水曜,その他
光,0015,負傷,000,001,県道,光市,2019,01,30,07,25,1昼明,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　小,直路,交差点内,車両相互,45～54歳,75歳以上,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,33.99153611,131.9623878,水曜,その他
山陽小野田,0017,負傷,000,001,市道,山陽小野田市,2019,01,30,08,11,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.0000125,131.17115,水曜,その他
下関,0048,負傷,000,001,市道,下関市,2019,01,30,11,21,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,大型乗用,軽貨物,事業用,自家用,損傷なし,負傷,33.94381722,130.9206961,水曜,その他
宇部,0043,負傷,000,001,県道,宇部市,2019,01,30,11,37,2昼,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,車両相互,65～74歳,45～54歳,普通乗用,軽乗用,事業用,自家用,負傷,損傷なし,33.95951556,131.2343575,水曜,その他
山口,0059,負傷,000,001,その他(広場等),山口市,2019,01,30,14,44,2昼,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,車両相互,55～64歳,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.16092472,131.4892131,水曜,その他
宇部,0051,負傷,000,001,県道,宇部市,2019,01,30,15,17,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,35～44歳,準中型貨物,軽乗用,自家用,自家用,損傷なし,負傷,33.93683222,131.2760414,水曜,その他
山陽小野田,0012,負傷,000,001,県道,山陽小野田市,2019,01,30,16,18,2昼,曇,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,55～64歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.9641575,131.1757375,水曜,その他
下関,0080,負傷,000,001,市道,下関市,2019,01,30,16,30,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.99593778,130.9483692,水曜,その他
周南,0033,負傷,000,001,国道２号,周南市,2019,01,30,17,16,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,65～74歳,自転車,自転車,対象外当事者,対象外当事者,損傷なし,負傷,34.04795917,131.8320517,水曜,その他
下関,0081,負傷,000,002,市道,下関市,2019,01,30,20,35,5夜,晴,市街地,舗装　乾燥,交差点,点滅１灯式,標識　規制なし,表示あり,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,55～64歳,01～24歳,普通乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,34.00627139,130.9442758,水曜,その他
山陽小野田,0014,負傷,000,001,国道190号,山陽小野田市,2019,01,31,08,47,2昼,雨,非市街地,舗装　湿潤,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,35～44歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.01188194,131.1672581,木曜,その他
下関,0053,負傷,000,001,国道２号,下関市,2019,01,31,10,54,2昼,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,45～54歳,大型貨物,軽乗用,事業用,自家用,損傷なし,負傷,33.97757028,130.9464033,木曜,その他
周南,0025,負傷,000,002,市道,周南市,2019,01,31,15,37,2昼,雨,市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　小　小,直路,交差点内,車両相互,35～44歳,65～74歳,普通乗用,原付一種,自家用,自家用,負傷,負傷,34.05613667,131.8216653,木曜,その他
岩国,0039,負傷,000,001,県道,岩国市,2019,01,31,23,05,5夜,晴,市街地,舗装　乾燥,トンネル,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.19301556,132.1824008,木曜,その他
長府,0036,負傷,000,001,国道２号,下関市,2019,02,01,05,03,5夜,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直路,交差点内,車両相互,45～54歳,45～54歳,大型貨物,普通乗用,事業用,自家用,損傷なし,負傷,34.02705194,131.008475,金曜,その他
岩国,0041,負傷,000,002,県道,岩国市,2019,02,01,07,20,1昼明,晴,非市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.13225722,132.1486492,金曜,その他
下関,0064,負傷,000,001,国道２号,下関市,2019,02,01,07,24,1昼明,雨,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,25～34歳,普通乗用,普通貨物,自家用,自家用,負傷,損傷なし,33.97540222,130.9473469,金曜,その他
宇部,0057,負傷,000,002,国道190号,宇部市,2019,02,01,07,29,1昼明,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,75歳以上,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.95126778,131.2462506,金曜,その他
岩国,0038,負傷,000,001,県道,岩国市,2019,02,01,08,30,2昼,晴,非市街地,舗装　湿潤,交差点付近,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.13409139,132.1506961,金曜,その他
長府,0037,負傷,000,002,県道,下関市,2019,02,01,09,30,2昼,曇,非市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,車両単独,35～44歳,不明,準中型貨物,物件等,自家用,対象外当事者,負傷,対象外当事者,34.11686889,131.0213064,金曜,その他
下関,0139,負傷,000,001,市道,下関市,2019,02,01,18,35,4夜暮,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　標準　反射式,表示なし,交差点　中　小,直路,交差点内,車両相互,35～44歳,45～54歳,軽乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.99898194,130.9610842,金曜,その他
長府,0034,負傷,000,001,国道491号,下関市,2019,02,02,06,45,6夜明,曇,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,普通貨物,軽乗用,自家用,自家用,負傷,損傷なし,34.05449111,131.0212361,土曜,その他
山口,0029,負傷,000,001,国道262号,山口市,2019,02,02,06,48,6夜明,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.14159194,131.5224653,土曜,その他
柳井,0014,負傷,000,002,国道188号,田布施町,2019,02,02,09,12,2昼,曇,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,75歳以上,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.93486361,132.0598942,土曜,その他
周南,0034,負傷,000,001,国道２号,周南市,2019,02,02,09,59,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,55～64歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04814722,131.8317747,土曜,その他
下関,0055,負傷,000,001,港湾道,下関市,2019,02,02,12,03,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,55～64歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,33.94814333,130.9215542,土曜,その他
宇部,0046,負傷,000,001,市道,宇部市,2019,02,02,12,05,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,45～54歳,01～24歳,準中型貨物,自転車,事業用,対象外当事者,損傷なし,負傷,33.96528778,131.2387992,土曜,その他
萩,0011,負傷,000,002,国道191号,萩市,2019,02,02,14,16,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,75歳以上,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.4723475,131.4469981,土曜,その他
高速隊,0008,負傷,000,002,高速道路,岩国市,2019,02,02,14,17,2昼,晴,非市街地,舗装　乾燥,トンネル,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,55～64歳,大型貨物,普通乗用,事業用,自家用,損傷なし,負傷,34.16072056,132.1535369,土曜,その他
岩国,0052,負傷,000,001,市道,岩国市,2019,02,02,16,14,2昼,晴,市街地,舗装　乾燥,交差点,点滅１灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.17284389,132.2237372,土曜,その他
下関,0076,負傷,000,002,県道,下関市,2019,02,02,22,28,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99641944,130.9529406,土曜,その他
下関,0058,負傷,000,001,県道,下関市,2019,02,03,07,20,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,25～34歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.97909722,130.9390419,日曜,その他
美祢,0010,負傷,000,001,県道,美祢市,2019,02,03,07,20,1昼明,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,カーブ左,単独（交差点付近を含む）,車両相互,25～34歳,35～44歳,中型貨物,準中型貨物,事業用,自家用,損傷なし,負傷,34.10905361,131.1405772,日曜,その他
周南,0027,負傷,000,001,市道,周南市,2019,02,03,08,52,2昼,曇,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,車両相互,25～34歳,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.05495694,131.8284669,日曜,その他
下関,0079,負傷,000,001,その他(広場等),下関市,2019,02,03,10,24,2昼,雨,市街地,舗装　湿潤,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.97137306,130.9240264,日曜,その他
萩,0012,負傷,000,001,県道,萩市,2019,02,03,10,51,2昼,雨,市街地,舗装　湿潤,交差点,点灯押ボ式,標識　標準　反射式,表示あり,対象外当事者,その他,交差点　大　小,直路,交差点内,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.40315889,131.40206,日曜,その他
周南,0029,負傷,000,002,県道,周南市,2019,02,03,12,45,2昼,曇,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　大,直路,交差点内,車両相互,35～44歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.05213639,131.8109103,日曜,その他
下関,0087,負傷,000,002,市道,下関市,2019,02,03,18,00,4夜暮,雨,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,65～74歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.97905722,130.9441269,日曜,その他
下関,0098,負傷,000,001,市道,下関市,2019,02,03,18,20,4夜暮,雨,市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,人対車両,35～44歳,25～34歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.01308083,130.9484717,日曜,その他
山口,0053,負傷,000,001,その他(幅員測定可),山口市,2019,02,03,18,41,4夜暮,曇,市街地,舗装　湿潤,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.15277583,131.5167981,日曜,その他
岩国,0029,死亡,001,000,国道188号,岩国市,2019,02,04,06,34,6夜明,晴,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.15909583,132.2219953,月曜,その他
防府,0041,負傷,000,001,国道２号,防府市,2019,02,04,07,03,6夜明,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,35～44歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.04757222,131.6285639,月曜,その他
岩国,0044,負傷,000,001,国道188号,岩国市,2019,02,04,08,20,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.11799528,132.1988833,月曜,その他
宇部,0044,負傷,000,001,県道,宇部市,2019,02,04,09,18,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,75歳以上,01～24歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.00289389,131.2269822,月曜,その他
山口,0042,負傷,000,001,県道,山口市,2019,02,04,15,37,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,車両相互,75歳以上,01～24歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.18079861,131.4802733,月曜,その他
下松,0015,負傷,000,001,県道,下松市,2019,02,04,16,37,2昼,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　標準　反射式,表示あり,対象外当事者,その他,交差点　中　小,直路,交差点内,人対車両,65～74歳,45～54歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.01593444,131.8462794,月曜,その他
山陽小野田,0013,負傷,000,001,県道,山陽小野田市,2019,02,04,16,40,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,55～64歳,軽乗用,原付一種,自家用,自家用,損傷なし,負傷,34.00614222,131.1791558,月曜,その他
下関,0067,負傷,000,001,市道,下関市,2019,02,04,18,00,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,25～34歳,35～44歳,軽乗用,原付二種　51～125cc,自家用,自家用,損傷なし,負傷,33.97992333,130.9390369,月曜,その他
下松,0016,負傷,000,001,県道,下松市,2019,02,04,19,21,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,25～34歳,普通乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.02843972,131.8495597,月曜,その他
周南,0024,負傷,000,002,県道,周南市,2019,02,05,06,52,6夜明,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,45～54歳,軽乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.03697167,131.8259894,火曜,その他
下関,0092,負傷,000,001,その他(幅員測定可),下関市,2019,02,05,07,10,1昼明,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,人対車両,65～74歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.91552028,130.9169864,火曜,その他
山口南,0011,負傷,000,001,国道９号,山口市,2019,02,05,07,37,1昼明,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,35～44歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.11044778,131.400605,火曜,その他
下関,0062,負傷,000,001,港湾道,下関市,2019,02,05,09,18,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,45～54歳,01～24歳,大型貨物,自転車,事業用,対象外当事者,損傷なし,負傷,33.94941972,130.9274306,火曜,その他
防府,0044,負傷,000,001,県道,防府市,2019,02,05,13,41,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04297972,131.6262597,火曜,その他
宇部,0062,負傷,000,001,県道,宇部市,2019,02,05,14,55,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,75歳以上,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,33.96047278,131.1937822,火曜,その他
宇部,0061,負傷,000,001,県道,宇部市,2019,02,05,14,57,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.96042389,131.1937081,火曜,その他
光,0030,負傷,000,001,市道,光市,2019,02,05,15,08,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,25～34歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.97355028,131.9208944,火曜,その他
下関,0073,負傷,000,001,県道,下関市,2019,02,05,15,35,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.93225583,130.9121997,火曜,その他
下関,0091,負傷,000,001,国道９号,下関市,2019,02,05,20,45,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,65～74歳,普通乗用,普通乗用,自家用,事業用,損傷なし,負傷,33.95180444,130.9367992,火曜,その他
周南,0032,負傷,000,001,県道,周南市,2019,02,05,20,58,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,25～34歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.01820889,131.8389731,火曜,その他
下関,0066,負傷,000,001,県道,下関市,2019,02,06,06,00,5夜,晴,非市街地,舗装　湿潤,橋,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,45～54歳,65～74歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.95245194,130.9052203,水曜,その他
下関,0077,負傷,000,001,県道,下関市,2019,02,06,11,18,2昼,曇,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,65～74歳,25～34歳,軽乗用,自転車,自家用,対象外当事者,損傷なし,負傷,33.96630778,130.9415619,水曜,その他
周南,0065,負傷,000,001,国道２号,周南市,2019,02,06,11,32,2昼,曇,非市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,01～24歳,01～24歳,軽乗用,原付一種,自家用,自家用,損傷なし,負傷,34.04946222,131.8295947,水曜,その他
下関,0107,負傷,000,001,市道,下関市,2019,02,06,14,49,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,01～24歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99610639,130.9532311,水曜,その他
防府,0045,負傷,000,001,国道２号,防府市,2019,02,06,15,51,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,35～44歳,軽乗用,軽貨物,自家用,自家用,損傷なし,負傷,34.05114472,131.5010228,水曜,その他
岩国,0088,負傷,000,002,国道188号,岩国市,2019,02,06,18,37,4夜暮,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.09712417,132.2044672,水曜,その他
岩国,0087,負傷,000,002,国道188号,岩国市,2019,02,06,18,37,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.09714056,132.2044542,水曜,その他
